-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      nano::decode_step         0.00%       0.000us         0.00%       0.000us       0.000us     252.071ms       210.32%     252.071ms      31.509ms           0 B           0 B           0 B           0 B             8  
                                nano::gdn_layer_forward         0.00%       0.000us         0.00%       0.000us       0.000us     109.790ms        91.60%     109.790ms     571.822us           0 B           0 B           0 B           0 B           192  
                                               aten::mm         4.69%      11.881ms         6.46%      16.353ms       9.420us      93.780ms        78.25%      93.780ms      54.021us           0 B           0 B     102.34 MB     102.34 MB          1736  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      84.400ms        70.42%      84.400ms      62.426us           0 B           0 B           0 B           0 B          1352  
                                   nano::gdn_delta_rule         0.00%       0.000us         0.00%       0.000us       0.000us      17.785ms        14.84%      17.785ms      92.631us           0 B           0 B           0 B           0 B           192  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       9.239ms         7.71%       9.239ms      24.059us           0 B           0 B           0 B           0 B           384  
                                            aten::copy_         3.01%       7.624ms         7.49%      18.975ms       4.090us       6.743ms         5.63%       6.743ms       1.453us           0 B           0 B           0 B           0 B          4640  
                                nano::gdn_state_scatter         0.00%       0.000us         0.00%       0.000us       0.000us       4.664ms         3.89%       4.664ms     583.024us           0 B           0 B           0 B           0 B             8  
                                 nano::gdn_state_gather         0.00%       0.000us         0.00%       0.000us       0.000us       4.615ms         3.85%       4.615ms     576.896us           0 B           0 B           0 B           0 B             8  
                                  nano::gdn_causal_conv         0.00%       0.000us         0.00%       0.000us       0.000us       4.375ms         3.65%       4.375ms      22.788us           0 B           0 B           0 B           0 B           192  
