-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      nano::decode_step         0.00%       0.000us         0.00%       0.000us       0.000us     148.971ms       108.44%     148.971ms      18.621ms           0 B           0 B           0 B           0 B             8  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      79.311ms        57.73%      79.311ms      45.897us           0 B           0 B           0 B           0 B          1728  
                                               aten::mm         0.08%     113.022us         0.10%     143.523us      17.940us       9.975ms         7.26%       9.975ms       1.247ms           0 B           0 B      60.62 MB      60.62 MB             8  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       9.975ms         7.26%       9.975ms       1.247ms           0 B           0 B           0 B           0 B             8  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       9.136ms         6.65%       9.136ms       1.142ms           0 B           0 B           0 B           0 B             8  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.724ms         5.62%       7.724ms      40.228us           0 B           0 B           0 B           0 B           192  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.571ms         3.33%       4.571ms       7.937us           0 B           0 B           0 B           0 B           576  
            fused_recurrent_gated_delta_rule_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.065ms         2.96%       4.065ms      21.173us           0 B           0 B           0 B           0 B           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.964ms         2.89%       3.964ms       1.982us           0 B           0 B           0 B           0 B          2000  
