-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      nano::decode_step         0.00%       0.000us         0.00%       0.000us       0.000us     204.876ms       175.12%     204.876ms      25.609ms           0 B           0 B           0 B           0 B             8  
                                               aten::mm         5.38%      11.078ms         7.89%      16.250ms       9.361us      89.814ms        76.77%      89.941ms      51.810us           0 B           0 B     409.00 MB     409.00 MB          1736  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      79.534ms        67.98%      79.534ms      46.027us           0 B           0 B           0 B           0 B          1728  
                                nano::gdn_layer_forward         0.00%       0.000us         0.00%       0.000us       0.000us      70.853ms        60.56%      70.853ms     369.027us           0 B           0 B           0 B           0 B           192  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       9.665ms         8.26%       9.665ms       1.208ms           0 B           0 B           0 B           0 B             8  
                                            aten::copy_         3.08%       6.335ms         7.68%      15.820ms       3.724us       6.470ms         5.53%       6.471ms       1.523us           0 B           0 B           0 B           0 B          4248  
state_aware_gdn_bf16_kernel(__nv_bfloat16 const*, __...         0.00%       0.000us         0.00%       0.000us       0.000us       6.196ms         5.30%       6.196ms      32.272us           0 B           0 B           0 B           0 B           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.986ms         3.41%       3.986ms       1.993us           0 B           0 B           0 B           0 B          2000  
                                             aten::mean         1.55%       3.202ms         2.38%       4.912ms       5.848us       3.780ms         3.23%       3.780ms       4.501us           0 B           0 B     740.00 KB     740.00 KB           840  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.780ms         3.23%       3.780ms       4.501us           0 B           0 B           0 B           0 B           840  
