-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      nano::decode_step         0.00%       0.000us         0.00%       0.000us       0.000us     261.802ms       191.86%     261.802ms      32.725ms           0 B           0 B           0 B           0 B             8  
                                nano::gdn_layer_forward         0.00%       0.000us         0.00%       0.000us       0.000us     106.558ms        78.09%     106.558ms     554.991us           0 B           0 B           0 B           0 B           192  
                                               aten::mm         4.70%      12.402ms         6.97%      18.379ms      10.587us      89.922ms        65.90%      89.926ms      51.801us           0 B           0 B     409.00 MB     409.00 MB          1736  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      79.332ms        58.14%      79.332ms      45.910us           0 B           0 B           0 B           0 B          1728  
                                   nano::gdn_delta_rule         0.00%       0.000us         0.00%       0.000us       0.000us      20.814ms        15.25%      20.814ms     108.404us           0 B           0 B           0 B           0 B           192  
                                 nano::gdn_state_gather         0.00%       0.000us         0.00%       0.000us       0.000us      11.632ms         8.52%      11.632ms       1.454ms           0 B           0 B           0 B           0 B             8  
                                     aten::index_select         0.35%     911.826us         0.92%       2.433ms       6.206us      10.876ms         7.97%      10.876ms      27.746us           0 B           0 B       6.19 GB           0 B           392  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       9.973ms         7.31%       9.973ms       1.247ms           0 B           0 B           0 B           0 B             8  
                                nano::gdn_state_scatter         0.00%       0.000us         0.00%       0.000us       0.000us       9.724ms         7.13%       9.724ms       1.216ms           0 B           0 B           0 B           0 B             8  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       8.981ms         6.58%       8.981ms      46.774us           0 B           0 B           0 B           0 B           192  
