-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 FusedRecurrentFunction        17.55%     357.792us        20.40%     415.898us      51.987us     188.999us        39.26%     188.999us      23.625us           0 B           0 B     257.00 MB           0 B             8  
            fused_recurrent_gated_delta_rule_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     188.999us        39.26%     188.999us      23.625us           0 B           0 B           0 B           0 B             8  
                               nano::old_fla_recurrence         0.00%       0.000us         0.00%       0.000us       0.000us     188.999us        39.26%     188.999us      23.625us           0 B           0 B           0 B           0 B             8  
                                     aten::index_select         7.85%     160.088us        10.22%     208.423us      26.053us     156.842us        32.58%     156.842us      19.605us           0 B           0 B     256.00 MB           0 B             8  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     156.842us        32.58%     156.842us      19.605us           0 B           0 B           0 B           0 B             8  
                                 nano::old_state_gather         0.00%       0.000us         0.00%       0.000us       0.000us     156.842us        32.58%     156.842us      19.605us           0 B           0 B           0 B           0 B             8  
                                      aten::index_copy_         1.71%      34.907us         3.02%      61.615us       7.702us     135.599us        28.17%     135.599us      16.950us           0 B           0 B           0 B           0 B             8  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     135.599us        28.17%     135.599us      16.950us           0 B           0 B           0 B           0 B             8  
                                nano::old_state_scatter         0.00%       0.000us         0.00%       0.000us       0.000us     135.599us        28.17%     135.599us      16.950us           0 B           0 B           0 B           0 B             8  
                                          ProfilerStep*         2.72%      55.368us        99.74%       2.034ms     254.207us       0.000us         0.00%     481.440us      60.180us           0 B           0 B           0 B           0 B             8  
                                  nano::gdn_decode_step        13.56%     276.479us        97.03%       1.978ms     247.286us       0.000us         0.00%     481.440us      60.180us           0 B           0 B           0 B    -513.00 MB             8  
                                        aten::unsqueeze         1.81%      36.804us         2.16%      44.104us       1.103us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            40  
                                       aten::as_strided         1.13%      23.139us         1.13%      23.139us       0.263us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            88  
                                 nano::old_state_gather        36.48%     743.891us        47.82%     975.104us     121.888us       0.000us         0.00%     156.842us      19.605us           0 B           0 B     256.00 MB           0 B             8  
                                            aten::slice         0.93%      18.868us         1.29%      26.368us       1.648us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                           aten::select         0.79%      16.150us         0.97%      19.810us       1.238us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                               aten::to         0.04%       0.850us         0.04%       0.850us       0.053us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                            aten::empty         1.01%      20.649us         1.01%      20.649us       1.291us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     256.00 MB     256.00 MB            16  
                                          aten::resize_         0.64%      13.048us         0.64%      13.048us       1.631us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     256.00 MB     256.00 MB             8  
                                       cudaLaunchKernel         2.33%      47.607us         2.33%      47.607us       2.975us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                               nano::old_fla_recurrence         5.32%     108.431us        25.72%     524.329us      65.541us       0.000us         0.00%     188.999us      23.625us           0 B           0 B     257.00 MB           0 B             8  
                                       aten::empty_like         0.37%       7.580us         1.04%      21.249us       2.656us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       1.00 MB           0 B             8  
                                    aten::empty_strided         0.67%      13.669us         0.67%      13.669us       1.709us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       1.00 MB       1.00 MB             8  
                                        aten::new_empty         0.20%       4.178us         0.74%      15.118us       1.890us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     256.00 MB           0 B             8  
                                       cuLaunchKernelEx         1.07%      21.739us         1.07%      21.739us       2.717us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                nano::old_state_scatter         3.55%      72.415us         7.76%     158.268us      19.784us       0.000us         0.00%     135.599us      16.950us           0 B           0 B           0 B           0 B             8  
                                  cudaDeviceSynchronize         0.26%       5.250us         0.26%       5.250us       5.250us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.039ms
Self CUDA time total: 481.440us
